date	open	high	low	close	volume	daily_change_percentage
2025-10-03	254.66	259.24	253.95	258.02	49155614	1.32
2025-10-02	256.57	258.18	254.15	257.13	42630239	0.22
2025-10-01	255.04	258.79	254.93	255.45	48713940	0.16
2025-09-30	254.85	255.92	253.11	254.63	37704259	-0.09
2025-09-29	254.56	255.00	253.01	254.43	40127687	-0.05
2025-09-26	254.09	257.60	253.78	255.46	46076258	0.54
2025-09-25	253.21	257.17	251.71	256.87	55202075	1.45
2025-09-24	255.22	255.74	251.04	252.31	42303710	-1.14
2025-09-23	255.88	257.34	253.58	254.43	60275187	-0.56
2025-09-22	248.30	256.64	248.12	256.08	105517416	3.13
2025-09-19	241.22	246.30	240.21	245.50	163741314	1.77
2025-09-18	239.97	241.20	236.65	237.88	44249576	-0.87
2025-09-17	238.97	240.10	237.73	238.99	46508017	0.01
2025-09-16	237.18	241.22	236.32	238.15	63421099	0.41
2025-09-15	237.00	238.19	235.03	236.70	42699524	-0.13
2025-09-12	229.22	234.51	229.02	234.07	55824216	2.12
2025-09-11	226.88	230.45	226.65	230.03	50208578	1.39
2025-09-10	232.19	232.42	225.95	226.79	83440810	-2.32
2025-09-09	237.00	238.78	233.36	234.35	66313918	-1.12
2025-09-08	239.30	240.15	236.34	237.88	48999495	-0.59
2025-09-05	240.00	241.32	238.49	239.69	54870397	-0.13
2025-09-04	238.45	239.90	236.74	239.78	47549429	0.56
2025-09-03	237.21	238.85	234.36	238.47	66061716	0.53
2025-09-02	229.25	230.85	226.97	229.72	44075638	0.21
2025-08-29	232.51	233.38	231.37	232.14	39418437	-0.16
2025-08-28	230.82	233.41	229.34	232.56	38074700	0.75
2025-08-27	228.61	230.90	228.26	230.49	31259513	0.82
2025-08-26	226.87	229.49	224.69	229.31	54575107	1.08
2025-08-25	226.48	229.30	226.23	227.16	30983133	0.30
2025-08-22	226.17	229.09	225.41	227.76	42477811	0.70
2025-08-21	226.27	226.52	223.78	224.90	30621249	-0.61
2025-08-20	229.98	230.47	225.77	226.01	42263865	-1.73
2025-08-19	231.28	232.87	229.35	230.56	39402564	-0.31
2025-08-18	231.70	233.12	230.11	230.89	37476188	-0.35
2025-08-15	234.00	234.28	229.34	231.59	56038657	-1.03
2025-08-14	234.06	235.12	230.85	232.78	51916275	-0.54
2025-08-13	231.07	235.00	230.43	233.33	69878546	0.98
2025-08-12	228.00	230.80	227.07	229.65	55672301	0.72
2025-08-11	227.92	229.56	224.76	227.18	61806132	-0.32
2025-08-08	220.83	231.00	219.25	229.35	113853967	3.86
2025-08-07	218.88	220.85	216.58	220.03	90224834	0.53
2025-08-06	205.63	215.38	205.59	213.25	108483103	3.71
2025-08-05	203.40	205.34	202.16	202.92	44155079	-0.24
2025-08-04	204.50	207.88	201.68	203.35	75109298	-0.56
2025-08-01	210.87	213.58	201.50	202.38	104434473	-4.02
2025-07-31	208.49	209.84	207.16	207.57	80698431	-0.44
2025-07-30	211.90	212.39	207.72	209.05	45512514	-1.34
2025-07-29	214.18	214.81	210.82	211.27	51411723	-1.36
2025-07-28	214.03	214.84	213.06	214.05	37858017	0.01
2025-07-25	214.70	215.24	213.40	213.88	40268781	-0.38
2025-07-24	213.90	215.69	213.53	213.76	46022620	-0.07
2025-07-23	215.00	215.15	212.41	214.15	46989301	-0.40
2025-07-22	213.14	214.95	212.23	214.40	46404072	0.59
2025-07-21	212.10	215.78	211.63	212.48	51377434	0.18
2025-07-18	210.87	211.79	209.70	211.18	48974591	0.15
2025-07-17	210.57	211.80	209.59	210.02	48068141	-0.26
2025-07-16	210.29	212.40	208.64	210.16	47490532	-0.06
2025-07-15	209.22	211.89	208.92	209.11	42296339	-0.05
2025-07-14	209.93	210.91	207.54	208.62	38840111	-0.62
2025-07-11	210.56	212.13	209.86	211.16	39765812	0.28
2025-07-10	210.50	213.48	210.03	212.41	44443635	0.90
2025-07-09	209.53	211.33	207.22	211.14	48749367	0.77
2025-07-08	210.10	211.43	208.45	210.01	42848928	-0.04
2025-07-07	212.68	216.23	208.80	209.95	50228984	-1.28
2025-07-03	212.15	214.65	211.81	213.55	34955836	0.66
2025-07-02	208.91	213.34	208.14	212.44	67941811	1.69
2025-07-01	206.66	210.19	206.14	207.82	78788867	0.56
2025-06-30	202.01	207.39	199.26	205.17	91912816	1.56
2025-06-27	201.89	203.22	200.00	201.08	73188571	-0.40
2025-06-26	201.43	202.64	199.46	201.00	50799121	-0.21
2025-06-25	201.45	203.67	200.62	201.56	39525730	0.05
2025-06-24	202.59	203.44	200.20	200.30	54064033	-1.13
2025-06-23	201.62	202.30	198.96	201.50	55814272	-0.06
2025-06-20	198.24	201.70	196.85	201.00	96813542	1.39
2025-06-18	195.94	197.57	195.07	196.58	45394689	0.33
2025-06-17	197.20	198.39	195.21	195.64	38856152	-0.79
2025-06-16	197.30	198.69	196.56	198.42	43020691	0.57
2025-06-13	199.73	200.37	195.70	196.45	51447349	-1.64
2025-06-12	199.08	199.68	197.36	199.20	43904635	0.06
2025-06-11	203.50	204.50	198.41	198.78	60989857	-2.32
2025-06-10	200.60	204.35	200.57	202.67	54672608	1.03
2025-06-09	204.39	206.00	200.02	201.45	72862557	-1.44
2025-06-06	203.00	205.70	202.05	203.92	46607693	0.45
2025-06-05	203.50	204.75	200.15	200.63	55221235	-1.41
2025-06-04	202.91	206.24	202.10	202.82	43603985	-0.04
2025-06-03	201.35	203.77	200.96	203.27	46381567	0.95
2025-06-02	200.28	202.13	200.12	201.70	35423294	0.71
2025-05-30	199.37	201.96	196.78	200.85	70819942	0.74
2025-05-29	203.57	203.81	198.51	199.95	51477938	-1.78
2025-05-28	200.59	202.73	199.90	200.42	45339678	-0.08
2025-05-27	198.30	200.74	197.43	200.21	56288475	0.96
2025-05-23	193.66	197.70	193.46	195.27	78432918	0.83
2025-05-22	200.71	202.75	199.70	201.36	46742407	0.32
2025-05-21	205.17	207.04	200.71	202.09	59211774	-1.50
2025-05-20	207.67	208.47	205.03	206.86	42496635	-0.39
2025-05-19	207.91	209.48	204.26	208.78	46140527	0.42
2025-05-16	212.36	212.57	209.77	211.26	54737850	-0.52
2025-05-15	210.95	212.96	209.54	211.45	45029473	0.24
2025-05-14	212.43	213.94	210.58	212.33	49325825	-0.05
2025-05-13	210.43	213.40	209.00	212.93	51909332	1.19
