date	open	high	low	close	volume	daily_change_percentage
2025-10-03	517.10	520.49	515.00	517.35	15112321	0.05
2025-10-02	517.64	521.60	510.68	515.74	21222886	-0.37
2025-10-01	514.80	520.50	511.69	519.71	22632336	0.95
2025-09-30	513.24	518.16	509.66	517.95	19728229	0.92
2025-09-29	511.50	516.85	508.88	514.60	17617775	0.61
2025-09-26	510.06	513.94	506.62	511.46	16213129	0.27
2025-09-25	508.30	510.01	505.04	507.03	15786468	-0.25
2025-09-24	510.38	512.48	506.92	510.15	13533711	-0.05
2025-09-23	513.80	514.59	507.31	509.23	19799580	-0.89
2025-09-22	515.59	517.74	512.54	514.45	20009314	-0.22
2025-09-19	510.56	519.30	510.31	517.93	52474093	1.44
2025-09-18	511.49	513.07	507.66	508.45	18913696	-0.59
2025-09-17	510.62	511.29	505.93	510.02	15816585	-0.12
2025-09-16	516.88	517.23	508.60	509.04	19711922	-1.52
2025-09-15	508.79	515.47	507.00	515.36	17143786	1.29
2025-09-12	506.65	512.55	503.85	509.90	23624884	0.64
2025-09-11	502.25	503.17	497.88	501.01	18881608	-0.25
2025-09-10	502.98	503.23	496.72	500.37	21611816	-0.52
2025-09-09	501.43	502.25	497.70	498.41	14410542	-0.60
2025-09-08	498.11	501.19	495.03	498.20	16771015	0.02
2025-09-05	509.07	511.97	492.37	495.00	31994846	-2.76
2025-09-04	504.30	508.15	503.15	507.97	15509486	0.73
2025-09-03	503.79	507.79	502.32	505.35	15995154	0.31
2025-09-02	500.46	506.00	496.81	505.12	18127995	0.93
2025-08-29	508.66	509.60	504.49	506.69	20961569	-0.39
2025-08-28	507.09	511.09	505.50	509.64	18015593	0.50
2025-08-27	502.00	507.29	499.90	506.74	17277893	0.94
2025-08-26	504.36	504.98	498.51	502.04	30835709	-0.46
2025-08-25	506.63	508.19	504.12	504.26	21638579	-0.47
2025-08-22	504.25	510.73	502.41	507.23	24324161	0.59
2025-08-21	503.69	507.63	502.72	504.24	18443254	0.11
2025-08-20	509.87	511.00	504.44	505.72	27723025	-0.81
2025-08-19	515.00	515.16	508.55	509.77	21481016	-1.02
2025-08-18	521.59	522.82	514.02	517.10	23760583	-0.86
2025-08-15	522.77	526.10	519.08	520.17	25213272	-0.50
2025-08-14	522.56	525.95	520.14	522.48	20269074	-0.02
2025-08-13	532.11	532.70	519.37	520.58	19619160	-2.17
2025-08-12	523.75	530.98	522.70	529.24	18688921	1.05
2025-08-11	522.30	527.59	519.72	521.77	20194372	-0.10
2025-08-08	522.60	524.66	519.41	522.04	15531009	-0.11
2025-08-07	526.80	528.09	517.55	520.84	16079144	-1.13
2025-08-06	530.90	531.70	524.03	524.94	21355702	-1.12
2025-08-05	537.18	537.30	527.24	527.75	19171569	-1.76
2025-08-04	528.27	538.25	528.13	535.64	25349004	1.40
2025-08-01	535.00	535.80	520.86	524.11	28977628	-2.04
2025-07-31	555.23	555.45	531.90	533.50	51617326	-3.91
2025-07-30	515.17	515.95	509.44	513.24	26380434	-0.37
2025-07-29	515.53	517.62	511.56	512.57	16469235	-0.57
2025-07-28	514.08	515.00	510.12	512.50	14308027	-0.31
2025-07-25	512.47	518.29	510.36	513.71	19125699	0.24
2025-07-24	508.77	513.67	507.30	510.88	16107000	0.41
2025-07-23	506.75	506.79	500.70	505.87	16396585	-0.17
2025-07-22	510.97	511.20	505.27	505.27	13868644	-1.12
2025-07-21	506.70	512.09	505.55	510.06	14066805	0.66
2025-07-18	514.48	514.64	507.43	510.05	21209666	-0.86
2025-07-17	505.68	513.37	505.62	511.70	17503129	1.19
2025-07-16	505.18	506.72	501.89	505.62	15154374	0.09
2025-07-15	503.02	508.30	502.79	505.82	14927202	0.56
2025-07-14	501.51	503.97	501.03	503.02	12058848	0.30
2025-07-11	498.47	505.03	497.80	503.32	16459512	0.97
2025-07-10	503.05	504.44	497.75	501.48	16498740	-0.31
2025-07-09	500.30	506.78	499.74	503.51	18659538	0.64
2025-07-08	497.24	498.20	494.11	496.62	11846586	-0.12
2025-07-07	497.38	498.75	495.23	497.72	13981605	0.07
2025-07-03	493.81	500.13	493.44	498.84	13984829	1.02
2025-07-02	489.99	493.50	488.70	491.09	16319641	0.22
2025-07-01	496.47	498.05	490.98	492.05	19945375	-0.89
2025-06-30	497.04	500.76	495.33	497.41	28368991	0.07
2025-06-27	497.55	499.30	493.03	495.94	34539236	-0.32
2025-06-26	492.98	498.04	492.81	497.45	21578853	0.91
2025-06-25	492.04	494.56	489.39	492.27	17495099	0.05
2025-06-24	488.95	491.85	486.80	490.11	22305642	0.24
2025-06-23	478.21	487.75	472.51	486.00	24863952	1.63
2025-06-20	482.23	483.46	476.87	477.40	37576206	-1.00
2025-06-18	478.00	481.00	474.46	480.24	17526452	0.47
2025-06-17	475.39	478.74	474.08	478.04	15414128	0.56
2025-06-16	475.21	480.69	475.00	479.14	15626104	0.83
2025-06-13	476.41	479.18	472.76	474.96	16814456	-0.30
2025-06-12	475.02	480.42	473.52	478.87	18950582	0.81
2025-06-11	470.02	475.47	469.65	472.62	16399176	0.55
2025-06-10	471.19	472.80	466.96	470.92	15375944	-0.06
2025-06-09	469.70	473.43	468.62	472.75	16469932	0.65
2025-06-06	470.08	473.33	468.78	470.38	15285624	0.06
2025-06-05	464.95	469.65	464.03	467.68	20154460	0.59
2025-06-04	464.00	465.69	463.02	463.87	14162688	-0.03
2025-06-03	461.47	464.14	460.86	462.97	15743760	0.33
2025-06-02	457.14	462.11	456.89	461.97	16626495	1.06
2025-05-30	459.71	461.68	455.54	460.36	34770475	0.14
2025-05-29	461.55	461.72	455.31	458.68	13982211	-0.62
2025-05-28	461.22	462.52	456.93	457.36	17086261	-0.84
